"X.1","X","ID","clutch_size","hatchlings","fledglings","unhatched_eggs","first_egg_date","Site","Habitat","Nest_Collection_Date","Total","Anthro","Moss","Feather","Wool.Hair","Arthropod","lat","long","IS50","TD50","IS100","TD100","IS500","TD500","HPD500","hatch_per","fledg_per","unhat_per","PC1","Anthro10"
1,1,113,10,10,8,0,"28/04/2023","SCENE","Rural","27/06/2023",7.454,0,6.855,0.344,0.001,1,56.12663,-4.62007,0,65.96153846,0,66.54807692,0.10178117,48.71119593,0,1,0.8,0,-7.18345551490448,0
2,2,154,9,9,9,0,"01/05/2023","SCENE","Rural","14/06/2023",17.75,0.009,16.667,0.339,0.027,8,56.129,-4.6107,0,65.98684211,0,65.82802548,0.184297731,49.19717053,0,1,1,0,2.553639887095,1
3,3,157,4,0,0,4,"07/05/2023","SCENE","Rural","14/06/2023",15.372,0.235,12.565,0.554,2.005,0,56.1296,-4.6116,0,68.30769231,0.10543131,57.95207668,0.184086569,51.28122215,0,0,0,1,-1.74717009111058,1
4,4,159,8,8,8,0,"30/04/2023","SCENE","Rural","27/06/2023",20.154,0,18.737,0.163,0.49,8,56.1292,-4.6115,0,67.55,1.060509554,60.09235669,0.184086569,49.83055379,0,1,1,0,4.56460550652548,0
5,5,16,7,5,4,2,"05/05/2023","SCENE","Rural","27/06/2023",29.044,0,28.984,0.22,0.035,10,56.1307,-4.6168,0,67.7721519,0,68.56962025,0.184063136,58.78958758,0,0.714285714285714,0.8,0.285714285714286,14.7843569628175,0
6,6,162,8,6,5,2,"10/05/2023","SCENE","Rural","27/06/2023",22.444,0,22.165,0.544,0.001,9,56.1287,-4.6123,3.443037975,46.92405063,4.487341772,46.40506329,0.184063136,47.51960285,0,0.75,0.833333333333333,0.25,8.00455144732621,0
7,7,165,7,7,7,0,"28/04/2023","SCENE","Rural","14/06/2023",10.256,0.008,9.122,1.196,0.001,5,56.1284,-4.6113,0,63.76923077,0,61.82108626,0.184016289,45.89717485,0,1,1,0,-4.97216059187727,1
8,8,172,7,7,7,0,"24/04/2023","SCENE","Rural","14/06/2023",19.453,0,13.309,0.331,4.212,5,56.1295,-4.6101,0,66.82051282,0,68.94936709,0.184016289,51.41511835,0,1,1,0,-1.24728353158088,0
9,9,18,8,8,8,0,"01/05/2023","SCENE","Rural","14/06/2023",12.113,0,8.431,3.768,0.001,3,56.1308,-4.6169,0,67.4556962,0,67.91719745,0.183969466,58.89872774,0,1,1,0,-5.77608247111138,0
10,10,2,7,6,6,1,"07/05/2023","SCENE","Rural","27/06/2023",17.794,0,15.393,1.186,0.612,1,56.1293,-4.61479,0,68.425,1.661392405,64.55063291,0.184110008,51.74420677,0,0.857142857142857,1,0.142857142857143,1.18469485499385,0
11,11,20,10,9,9,1,"02/05/2023","SCENE","Rural","27/06/2023",13.386,0.157,11.544,0.99,0.338,6,56.1287,-4.61365,13.525,33.9625,4.59047619,45.05714286,0.184133452,47.98650197,0,0.9,1,0.1,-2.5949287485286,1
12,12,208,7,7,7,0,"01/05/2023","Sallochy","Rural","27/06/2023",21.05,0.016,21.035,0.704,0.001,13,56.124,-4.6022,0,75.28571429,0,69.3974359,0.082568807,39.19482671,0,1,1,0,6.87568283618454,1
13,13,224,7,7,7,0,"19/04/2023","Sallochy","Rural","27/06/2023",18.285,0.001,14.288,0.305,1.213,2,56.1252,-4.6038,0,72.71052632,0,73.33546326,0.008928571,42.38367347,0,1,1,0,0.0610439689479329,1
14,14,225,7,6,6,1,"11/05/2023","Sallochy","Rural","27/06/2023",20.186,0.001,13.902,0.035,4.571,32,56.124355,-4.604817,0,36.1038961,0,36.14376997,0,33.20389958,0,0.857142857142857,1,0.142857142857143,-0.68521353353874,1
15,15,23,9,9,8,0,"25/04/2023","SCENE","Rural","27/06/2023",16.72,0,13.755,0.31,0.296,12,56.12906,-4.61372,15.1,33.2125,4.59047619,50.62222222,0.184110008,49.64438503,0,1,0.888888888888889,0,-0.365729706789594,0
16,16,235,3,3,3,0,"05/05/2023","Sallochy","Rural","27/06/2023",15.364,0.001,13.885,0.491,0.919,1,56.1227,-4.5978,0,62.41025641,1.137820513,59.47435897,0.082474227,44.63548428,0,1,1,0,-0.31464124415955,1
17,17,24,8,7,7,1,"01/05/2023","SCENE","Rural","14/06/2023",11.502,0,8.438,2.865,0.001,3,56.1313,-4.6153,0,61.77922078,0,53.57234727,0.184203822,59.47770701,0,0.875,1,0.125,-5.72772549915508,0
